,A,B,R_val,R_z_score,R_p_val
2807,Macrophage_intermediate,T_reg,0.4768170351104593,129.1552821147043,0.0
2479,Macro_interstitial,NKT,0.47674445574529356,129.13562256461816,0.0
1328,DC_2,T_reg,0.47662699432098987,129.10380582512178,0.0
916,CD8_EM_EMRA,Macro_int,0.47644973929670176,129.05579281178035,0.0
157,B_memory,B_naive,0.476382571648922,129.0375991319007,0.0
2667,Macro_CCL,Macrophage_intermediate,0.4763778871107727,129.03633023250805,0.0
1293,DC_2,Macro_AW_CX3CR1,0.47626859919416437,129.00672744850095,0.0
2587,Macro_alv,Neuroendocrine,0.4761988361783193,128.98783076208002,0.0
911,CD8_EM_EMRA,Macro_interstitial,0.47589697664684133,128.9060661646008,0.0
2031,Erythrocyte,gdT,0.4757539771081838,128.86733192400615,0.0
1254,DC_1,NKT,0.4757457826990558,128.86511230695234,0.0
1232,DC_1,Macro_AW_CX3CR1,0.47573268027847965,128.86156325836285,0.0
2386,MAIT,Macro_int,0.47568431143049916,128.8484616035425,0.0
163,B_memory,CD4_TRM,0.47567227506057747,128.84520131576247,0.0
2445,Macro_CHIT1,Neuroendocrine,0.4756204364033857,128.8311597947994,0.0
966,CD8_TRM_EM,Erythrocyte,0.47556073249091985,128.8149878145846,0.0
1269,DC_2,DC_activated,0.47549300495720964,128.79664247857696,0.0
174,B_memory,DC_plasmacytoid,0.4754693563210715,128.79023677985577,0.0
2381,MAIT,Macro_interstitial,0.47543094579180206,128.77983253172982,0.0
812,CD4_naive_CM,T_reg,0.4751004388147497,128.69030820957093,0.0
2833,Monocyte_CD14,T_reg,0.4750230065889932,128.66933416664475,0.0
787,CD4_naive_CM,Monocyte_CD14,0.4750164042357068,128.66754578926194,0.0
219,B_memory,NKT,0.47499765458518295,128.66246707725156,0.0
162,B_memory,CD4_EM_Effector,0.4745229955410325,128.53389632947753,0.0
1362,DC_activated,Macrophage_intermediate,0.4744485599739471,128.51373399055427,0.0
886,CD8_EM_EMRA,DC_1,0.4742834144766421,128.46900108102335,0.0
1990,Erythrocyte,ILC,0.47426134400001324,128.46302285787797,0.0
218,B_memory,NK_CD16hi,0.4742003537582657,128.44650245005042,0.0
2668,Macro_CCL,Monocyte_CD14,0.4741985808405303,128.44602222037443,0.0
977,CD8_TRM_EM,Macro_interstitial,0.47383704744959687,128.34809378313,0.0
1229,DC_1,MAIT,0.47374382176090213,128.32284176980602,0.0
282,B_naive,Macrophage_intermediate,0.47334958477435785,128.21605491978212,0.0
168,B_memory,CD8_TRM,0.47316144376507757,128.16509322306902,0.0
2620,Macro_dividing,Neuroendocrine,0.47313744198110336,128.15859186730322,0.0
1421,DC_plasmacytoid,Macrophage_intermediate,0.4725324936484926,127.99472970045538,0.0
982,CD8_TRM_EM,Macro_int,0.4723543846652032,127.94648537550466,0.0
1303,DC_2,Monocyte_CD14,0.47235244664655623,127.94596042499607,0.0
782,CD4_naive_CM,Macro_CCL,0.4723466668500831,127.94439485332164,0.0
2532,Macro_alveolar_metallothioneins,Macro_int,0.47233340544839914,127.9408027415689,0.0
2302,ILC,Macro_interstitial,0.4722579096063687,127.92035320630079,0.0
166,B_memory,CD8_EM_EMRA,0.47224222850537756,127.9161056713487,0.0
2793,Macrophage_intermediate,NK_CD16hi,0.47222661428723295,127.91187625293247,0.0
2663,Macro_int,gdT,0.4721402944922704,127.88849483689752,0.0
2693,Macro_CCL,T_reg,0.47213128363601975,127.88605406906531,0.0
1298,DC_2,Macro_CCL,0.4720654212273849,127.86821393890716,0.0
1388,DC_activated,T_reg,0.4720649828565762,127.86809519754246,0.0
952,CD8_TRM_EM,DC_1,0.4720628173008211,127.86750861412808,0.0
717,CD4_TRM,Macrophage_intermediate,0.472051043378971,127.86431941557566,0.0
1233,DC_1,Macro_alveolar_metallothioneins,0.4719939031810652,127.848841867927,0.0
753,CD4_naive_CM,DC_activated,0.4719248522574688,127.83013806571215,0.0
1363,DC_activated,Monocyte_CD14,0.4719201134705527,127.82885447197292,0.0
752,CD4_naive_CM,DC_2,0.47187101673391163,127.81555565417729,0.0
2018,Erythrocyte,NK_CD11d,0.4718674472701799,127.81458879464559,0.0
2307,ILC,Macro_int,0.47186717886086404,127.81451609069762,0.0
683,CD4_TRM,DC_2,0.4718300211058608,127.80445118114783,0.0
308,B_naive,T_reg,0.47172302248630216,127.7754684983211,0.0
194,B_memory,MAIT,0.47158732048570146,127.738710939592,0.0
2006,Erythrocyte,Monocyte_CD16,0.4715577902221069,127.73071208626959,0.0
2493,Macro_interstitial,gdT,0.47151267246529505,127.7184910535037,0.0
2794,Macrophage_intermediate,NKT,0.4714402009934838,127.69886072845695,0.0
613,CD4_EM_Effector,DC_2,0.47141549275953726,127.69216801680669,0.0
647,CD4_EM_Effector,Macrophage_intermediate,0.47135565685695296,127.67596028446954,0.0
799,CD4_naive_CM,NKT,0.4713327163423937,127.66974639442036,0.0
2819,Monocyte_CD14,NK_CD16hi,0.4712223528125095,127.63985225937951,0.0
2633,Macro_int,Mast_cell,0.47111007743091254,127.60944026165939,0.0
1255,DC_1,NK_CD11d,0.47075907448426807,127.51436420258683,0.0
1052,CD8_TRM,Macrophage_intermediate,0.4707344604028412,127.50769699400034,0.0
1447,DC_plasmacytoid,T_reg,0.47067426060927725,127.49139069462662,0.0
2480,Macro_interstitial,NK_CD11d,0.470661016557354,127.48780328239816,0.0
1227,DC_1,ILC,0.47057323973823767,127.46402720268348,0.0
1996,Erythrocyte,Macro_alveolar_metallothioneins,0.4705363948768066,127.45404704651834,0.0
743,CD4_TRM,T_reg,0.47040222050589536,127.41770327636846,0.0
240,B_naive,CD4_naive_CM,0.47038418001087773,127.41281665308966,0.0
283,B_naive,Monocyte_CD14,0.4703592903955757,127.40607481072803,0.0
2001,Erythrocyte,Mast_cell,0.4703514827277839,127.40395995017973,0.0
675,CD4_TRM,CD4_naive_CM,0.47031951196004906,127.39530003825931,0.0
2820,Monocyte_CD14,NKT,0.4702939508415277,127.38837630602933,0.0
1317,DC_2,NK_CD56bright,0.47029063295859697,127.38747759211103,0.0
1358,DC_activated,Macro_CCL,0.4702271021204556,127.37026901372785,0.0
1314,DC_2,NK_CD16hi,0.4701690878094045,127.35455469532317,0.0
833,CD8_EM,Erythrocyte,0.47014972365483476,127.34930953279289,0.0
3053,NK_CD16hi,T_reg,0.4701012507779441,127.33617969969397,0.0
718,CD4_TRM,Monocyte_CD14,0.4700696373121288,127.32761657003344,0.0
249,B_naive,DC_activated,0.4699841760454281,127.30446770328194,0.0
250,B_naive,DC_plasmacytoid,0.46987234941916883,127.2741772597807,0.0
1268,DC_1,gdT,0.46986644823935814,127.27257880903935,0.0
1078,CD8_TRM,T_reg,0.4698628479647119,127.27160360376482,0.0
1020,CD8_TRM,DC_plasmacytoid,0.4698482806311984,127.26765775466326,0.0
921,CD8_EM_EMRA,Macrophage_intermediate,0.46964170903980695,127.21170377190158,0.0
2468,Macro_interstitial,Monocyte_CD16,0.4696055248260357,127.20190256516273,0.0
1256,DC_1,NK_CD56bright,0.4695427177032368,127.18489001932946,0.0
2638,Macro_int,Monocyte_CD16,0.46948326505365967,127.16878609861524,0.0
673,CD4_EM_Effector,T_reg,0.46933724924107767,127.1292348408401,0.0
605,CD4_EM_Effector,CD4_naive_CM,0.46928343436839165,127.11465802300027,0.0
2391,MAIT,Macrophage_intermediate,0.46919019562359493,127.08940247317402,0.0
754,CD4_naive_CM,DC_plasmacytoid,0.46910884673295516,127.06736752444812,0.0
1330,DC_activated,DC_plasmacytoid,0.4690663636839999,127.05586015418052,0.0
2457,Macro_interstitial,Macro_AW_CX3CR1,0.4690173162283874,127.04257468512178,0.0
648,CD4_EM_Effector,Monocyte_CD14,0.4688873647409155,127.00737476609672,0.0
2650,Macro_int,NK_CD11d,0.4688645868351525,127.00120492184163,0.0
1995,Erythrocyte,Macro_AW_CX3CR1,0.46882963034944447,126.99173626942171,0.0
3067,NKT,T_reg,0.4687048489010123,126.95793675726459,0.0
278,B_naive,Macro_CCL,0.4686482545050989,126.94260705083198,0.0
2463,Macro_interstitial,Mast_cell,0.46857251285086926,126.92209093248987,0.0
922,CD8_EM_EMRA,Monocyte_CD14,0.4685278515559569,126.90999354141684,0.0
244,B_naive,CD8_TRM,0.468514722732764,126.90643734115878,0.0
2458,Macro_interstitial,Macro_alveolar_metallothioneins,0.4683771764425416,126.86918022027301,0.0
233,B_memory,gdT,0.46827922580579723,126.84264836173925,0.0
798,CD4_naive_CM,NK_CD16hi,0.4681338941822371,126.80328243003181,0.0
2497,Macro_AW_CX3CR1,Macro_int,0.46810941181962185,126.79665090007887,0.0
167,B_memory,CD8_TRM_EM,0.46809774572768026,126.79349090938025,0.0
1422,DC_plasmacytoid,Monocyte_CD14,0.4679838618568753,126.76264322068826,0.0
192,B_memory,ILC,0.46781282690909026,126.71631503753613,0.0
2392,MAIT,Monocyte_CD14,0.46769247664891134,126.68371579996405,0.0
746,CD4_naive_CM,CD8_EM_EMRA,0.4676809367647678,126.68058999513246,0.0
1257,DC_1,Neuroendocrine,0.46766830111337326,126.67716738016614,0.0
614,CD4_EM_Effector,DC_activated,0.4675190693008985,126.6367450054995,0.0
2680,Macro_CCL,NKT,0.4674541295302475,126.61915479000533,0.0
239,B_naive,CD4_TRM,0.4674489808690123,126.61776017373666,0.0
844,CD8_EM,Macro_interstitial,0.4674206619775201,126.61008944439912,0.0
1053,CD8_TRM,Monocyte_CD14,0.467410221832696,126.60726152561521,0.0
713,CD4_TRM,Macro_CCL,0.4673941327580894,126.60290348297671,0.0
684,CD4_TRM,DC_activated,0.4672723049997482,126.56990403593659,0.0
1019,CD8_TRM,DC_activated,0.46706243231839295,126.51305588796232,0.0
238,B_naive,CD4_EM_Effector,0.4670251643761077,126.50296113201769,0.0
643,CD4_EM_Effector,Macro_CCL,0.46702036605336344,126.50166141182717,0.0
685,CD4_TRM,DC_plasmacytoid,0.4669627296391343,126.48604945421724,0.0
1316,DC_2,NK_CD11d,0.4669559957094459,126.4842254367753,0.0
1243,DC_1,Monocyte_CD16,0.46691267697681155,126.47249170512929,0.0
947,CD8_EM_EMRA,T_reg,0.4668776308723168,126.46299877769646,0.0
1417,DC_plasmacytoid,Macro_CCL,0.4668611606448956,126.4585374923135,0.0
2679,Macro_CCL,NK_CD16hi,0.4668423387415455,126.45343920920256,0.0
615,CD4_EM_Effector,DC_plasmacytoid,0.4665404233745261,126.37165948756757,0.0
294,B_naive,NK_CD16hi,0.4665081927231157,126.3629291810367,0.0
987,CD8_TRM_EM,Macrophage_intermediate,0.46640702307654436,126.33552539031152,0.0
774,CD4_naive_CM,MAIT,0.46640452658471354,126.33484916634517,0.0
1374,DC_activated,NK_CD16hi,0.46637510421352807,126.32687953780608,0.0
849,CD8_EM,Macro_int,0.4663670259459198,126.3246913799696,0.0
2019,Erythrocyte,NK_CD56bright,0.46625470841703837,126.29426796582763,0.0
2417,MAIT,T_reg,0.46624349786832575,126.29123136798187,0.0
203,B_memory,Mast_cell,0.4661237931805841,126.25880699641523,0.0
748,CD4_naive_CM,CD8_TRM,0.46608037188784046,126.24704548434427,0.0
2481,Macro_interstitial,NK_CD56bright,0.46606258900093633,126.24222863929513,0.0
729,CD4_TRM,NK_CD16hi,0.46604146274269465,126.23650617629085,0.0
953,CD8_TRM_EM,DC_2,0.46599639361580353,126.22429831589648,0.0
679,CD4_TRM,CD8_TRM,0.4659600606558639,126.21445681832921,0.0
2312,ILC,Macrophage_intermediate,0.4659353674666641,126.20776818184484,0.0
